"NMF1"	"NMF2"	"NMF3"	"NMF4"	"NMF5"	"NMF6"	"NMF7"	"NMF8"	"NMF9"	"NMF10"	"NMF11"	"NMF12"	"NMF13"
"ABHD5_FORALL_100"	1.21462510763703	0.56838608980037	-5.12040850873234	-1.92168857349973	0.41898372955223	1.98053622732422	-1.82325343004929	1.67634327482435	3.53897148386667	1.52161193977387	-1.39855622168999	-2.11407937938676	1.3138920504658
"ABHD5_FORALL_107"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_114"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_116"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_124"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_125"	1.21462510763703	0.56838608980037	-5.12040850873234	-1.92168857349973	0.41898372955223	1.98053622732422	-1.82325343004929	1.67634327482435	3.53897148386667	1.52161193977387	-1.39855622168999	-2.11407937938676	1.3138920504658
"ABHD5_FORALL_126"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_127"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_136"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_141"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_142"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_143"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_146"	1.21462510763703	0.56838608980037	-5.12040850873234	-1.92168857349973	0.41898372955223	1.98053622732422	-1.82325343004929	1.67634327482435	3.53897148386667	1.52161193977387	-1.39855622168999	-2.11407937938676	1.3138920504658
"ABHD6_FORALL_136"	0.449713042470098	-2.89151108055136	-0.272773950465029	1.62639587597229	0.563807987605228	0.719273833312049	-1.38616011163667	0.754202808190591	-1.03629289749304	-0.703366729470218	-2.03463648052034	7.26054359747524	-0.500512342335061
"ABI2_FORALL_050"	0.0425890613782019	-4.34737772143371	-0.0256120558439489	-1.47058413026416	3.53927842995899	1.89977656153581	-1.67926035616783	0.565689472547894	1.96169166358293	-0.884857229334127	-1.69310242505553	-2.77212843587189	5.35831783057395
"ABI2_FORALL_057"	-0.953582413293012	-6.75331433366527	0.283578301754282	-1.47480829018032	2.43049487072195	2.67043929985591	1.6978418764411	1.7120786263194	1.97576924053302	0.636458191914925	-0.592024414432593	-4.53413377390376	0.870518593922896
"ABI3_FORALL_038"	2.35133464491456	-4.30386163318835	3.75456638336296	1.57978275784659	1.99014932038347	-3.61881614496435	4.24872348811756	-1.84359388158787	-1.09466570098118	-0.191298533476894	-2.91452225687516	6.32112656283232	-4.00980343119198
"ABI3_FORALL_104"	-1.94445409376553	-0.0700070672855095	2.51108773696543	3.03066802119049	3.65536213029593	-5.05276374504788	7.07011888268851	-1.76834091102349	-3.76960149688366	-1.80823564097852	-2.78058157346508	5.36456814223137	-2.69266376311096
