"V1"	"V2"	"complex"	"location_V1"	"location_V2"
"144"	"PSMD14"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"145"	"PSMD2"	"PSMD14"	"PA700 complex"	"Cytosol"	"Cytosol"
"146"	"PSMD6"	"PSMD14"	"PA700 complex"	"Cytosol"	"Cytosol"
"147"	"PSMD5"	"PSMD14"	"PA700 complex"	"Cytosol"	"Cytosol"
"148"	"PSMD14"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"149"	"PSMD14"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"150"	"PSMD3"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"151"	"PSMD3"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"152"	"PSMD3"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"153"	"PSMD3"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"154"	"PSMD8"	"PSMD3"	"PA700 complex"	"Cytosol"	"Cytosol"
"155"	"PSMD7"	"PSMD3"	"PA700 complex"	"Cytosol"	"Cytosol"
"156"	"PSMD4"	"PSMD3"	"PA700 complex"	"Cytosol"	"Cytosol"
"157"	"PSMD3"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"158"	"PSMD3"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"159"	"PSMD3"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"160"	"PSMD3"	"PSMD2"	"PA700 complex"	"Cytosol"	"Cytosol"
"161"	"PSMD6"	"PSMD3"	"PA700 complex"	"Cytosol"	"Cytosol"
"162"	"PSMD5"	"PSMD3"	"PA700 complex"	"Cytosol"	"Cytosol"
"163"	"PSMD3"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"164"	"PSMD3"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"165"	"PSMD10"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"166"	"PSMD10"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"167"	"PSMD10"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"168"	"PSMD8"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"169"	"PSMD7"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"170"	"PSMD4"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"171"	"PSMD10"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"172"	"PSMD10"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"173"	"PSMD10"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"174"	"PSMD2"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"175"	"PSMD6"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"176"	"PSMD5"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"177"	"PSMD10"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"178"	"PSMD13"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"179"	"PSMC3"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"180"	"PSMC4"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"181"	"PSMD8"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"182"	"PSMD7"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"183"	"PSMD4"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"184"	"PSMC3"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"185"	"PSMC5"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"186"	"PSMC6"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"187"	"PSMD2"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"188"	"PSMD6"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"189"	"PSMD5"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"190"	"PSMD1"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"191"	"PSMD13"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"192"	"PSMC4"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"193"	"PSMD8"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"194"	"PSMD7"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"195"	"PSMD4"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"196"	"PSMC2"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"197"	"PSMC5"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"198"	"PSMC6"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"199"	"PSMD2"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"200"	"PSMD6"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"201"	"PSMD5"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"202"	"PSMD1"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
