"protein1"	"protein2"	"combined_score"	"gene1"	"gene2"
"641982"	"9606.ENSP00000339844"	"9606.ENSP00000361923"	815	"MRPL43"	"CHCHD1"
"641986"	"9606.ENSP00000339844"	"9606.ENSP00000346001"	404	"RPL3"	"MRPL43"
"641994"	"9606.ENSP00000339844"	"9606.ENSP00000354525"	945	"MRPL43"	"MRPL24"
"642001"	"9606.ENSP00000339844"	"9606.ENSP00000497004"	885	"MRPL43"	"MRPL28"
"642006"	"9606.ENSP00000339844"	"9606.ENSP00000463842"	402	"RPL17"	"MRPL43"
"642017"	"9606.ENSP00000339844"	"9606.ENSP00000420311"	749	"RPL23"	"MRPL43"
"642020"	"9606.ENSP00000339844"	"9606.ENSP00000463784"	402	"RPL26"	"MRPL43"
"642028"	"9606.ENSP00000339844"	"9606.ENSP00000435777"	404	"RPS13"	"MRPL43"
"642039"	"9606.ENSP00000339844"	"9606.ENSP00000382250"	947	"MRPS6"	"MRPL43"
"642065"	"9606.ENSP00000339844"	"9606.ENSP00000367806"	402	"RPS16"	"MRPL43"
"642066"	"9606.ENSP00000339844"	"9606.ENSP00000351644"	591	"MRPL43"	"GTPBP3"
"642074"	"9606.ENSP00000339844"	"9606.ENSP00000477141"	479	"MRPL43"	"FRRS1L"
"642075"	"9606.ENSP00000339844"	"9606.ENSP00000426941"	807	"MRPS27"	"MRPL43"
"642081"	"9606.ENSP00000339844"	"9606.ENSP00000463379"	402	"RPL17-C18orf32"	"MRPL43"
"642086"	"9606.ENSP00000339844"	"9606.ENSP00000485698"	809	"MTRES1"	"MRPL43"
"642091"	"9606.ENSP00000339844"	"9606.ENSP00000403614"	807	"MRPL55"	"MRPL43"
"642095"	"9606.ENSP00000339844"	"9606.ENSP00000490412"	479	"REELD1"	"MRPL43"
"642100"	"9606.ENSP00000339844"	"9606.ENSP00000461930"	807	"MRPS21"	"MRPL43"
"642102"	"9606.ENSP00000339844"	"9606.ENSP00000354580"	987	"MRPL43"	"MRPL21"
"642109"	"9606.ENSP00000339844"	"9606.ENSP00000418008"	807	"MRPS22"	"MRPL43"
"642110"	"9606.ENSP00000339844"	"9606.ENSP00000363999"	960	"MRPL50"	"MRPL43"
"642113"	"9606.ENSP00000339844"	"9606.ENSP00000359859"	809	"MTG2"	"MRPL43"
"642115"	"9606.ENSP00000339844"	"9606.ENSP00000417602"	980	"MRPL47"	"MRPL43"
"642124"	"9606.ENSP00000339844"	"9606.ENSP00000375632"	487	"RPS9"	"MRPL43"
"642133"	"9606.ENSP00000339844"	"9606.ENSP00000362208"	947	"MRPS15"	"MRPL43"
"642134"	"9606.ENSP00000339844"	"9606.ENSP00000442920"	499	"SOD2-2"	"MRPL43"
"642150"	"9606.ENSP00000339844"	"9606.ENSP00000484903"	800	"MRPL45"	"MRPL43"
"642161"	"9606.ENSP00000339844"	"9606.ENSP00000356001"	912	"MRPL43"	"MRPL18"
"642165"	"9606.ENSP00000339844"	"9606.ENSP00000390647"	810	"MRPL43"	"C12orf65"
"642166"	"9606.ENSP00000339844"	"9606.ENSP00000458770"	954	"NDUFAB1"	"MRPL43"
"642168"	"9606.ENSP00000339844"	"9606.ENSP00000419370"	978	"MRPL43"	"MALSU1"
"642171"	"9606.ENSP00000339844"	"9606.ENSP00000481559"	498	"MRPL43"	"MRM1"
"642173"	"9606.ENSP00000339844"	"9606.ENSP00000384952"	950	"MRPS12"	"MRPL43"
"642178"	"9606.ENSP00000339844"	"9606.ENSP00000401831"	720	"MRPL43"	"ACSF2"
"642186"	"9606.ENSP00000339844"	"9606.ENSP00000342676"	806	"MRPL43"	"AURKAIP1"
"642212"	"9606.ENSP00000339850"	"9606.ENSP00000419782"	499	"DPYSL4"	"CDK5"
"642214"	"9606.ENSP00000339850"	"9606.ENSP00000346671"	499	"FYN"	"DPYSL4"
"642216"	"9606.ENSP00000339850"	"9606.ENSP00000352882"	499	"PLXNA4"	"DPYSL4"
"642220"	"9606.ENSP00000339850"	"9606.ENSP00000427985"	733	"DPYSL4"	"DPYSL2"
"642221"	"9606.ENSP00000339850"	"9606.ENSP00000343690"	727	"DPYSL4"	"DPYSL3"
"642226"	"9606.ENSP00000339850"	"9606.ENSP00000356000"	499	"PLXNA2"	"DPYSL4"
"642234"	"9606.ENSP00000339850"	"9606.ENSP00000358696"	499	"PLXNA3"	"DPYSL4"
"642240"	"9606.ENSP00000339850"	"9606.ENSP00000377061"	499	"PLXNA1"	"DPYSL4"
"642260"	"9606.ENSP00000339881"	"9606.ENSP00000382779"	999	"SEH1L"	"MIOS"
"642261"	"9606.ENSP00000339881"	"9606.ENSP00000384183"	797	"MIOS"	"CASTOR1"
"642267"	"9606.ENSP00000339881"	"9606.ENSP00000483814"	978	"NPRL3"	"MIOS"
"642269"	"9606.ENSP00000339881"	"9606.ENSP00000498382"	982	"MIOS"	"DEPDC5"
"642270"	"9606.ENSP00000339881"	"9606.ENSP00000484732"	716	"MIOS"	"CASTOR2"
"642281"	"9606.ENSP00000339881"	"9606.ENSP00000362092"	734	"RRAGC"	"MIOS"
"642286"	"9606.ENSP00000339881"	"9606.ENSP00000419692"	453	"RXRA"	"MIOS"
"642291"	"9606.ENSP00000339881"	"9606.ENSP00000369899"	734	"RRAGA"	"MIOS"
"642300"	"9606.ENSP00000339881"	"9606.ENSP00000373312"	999	"SEC13"	"MIOS"
"642303"	"9606.ENSP00000339881"	"9606.ENSP00000393762"	641	"SESN1"	"MIOS"
"642304"	"9606.ENSP00000339881"	"9606.ENSP00000457168"	630	"SZT2"	"MIOS"
"642309"	"9606.ENSP00000339883"	"9606.ENSP00000480826"	476	"LBR"	"H3C1"
"642324"	"9606.ENSP00000339883"	"9606.ENSP00000497733"	564	"LBR"	"CDC42"
"642356"	"9606.ENSP00000339883"	"9606.ENSP00000395535"	968	"MECP2"	"LBR"
"642357"	"9606.ENSP00000339883"	"9606.ENSP00000377060"	470	"LBR"	"CBX1"
"642365"	"9606.ENSP00000339883"	"9606.ENSP00000497641"	420	"LBR"	"EIF4A3"
"642367"	"9606.ENSP00000339883"	"9606.ENSP00000433760"	596	"LBR"	"BANF1"
"642395"	"9606.ENSP00000339883"	"9606.ENSP00000477870"	407	"LBR"	"H4C7"
"642397"	"9606.ENSP00000339883"	"9606.ENSP00000352252"	712	"LBR"	"H3C12"
"642408"	"9606.ENSP00000339883"	"9606.ENSP00000358857"	729	"LBR"	"EMD"
"642411"	"9606.ENSP00000339883"	"9606.ENSP00000355657"	715	"LBR"	"H3-4"
"642423"	"9606.ENSP00000339883"	"9606.ENSP00000499501"	702	"LBR"	"H3-2"
"642435"	"9606.ENSP00000339883"	"9606.ENSP00000348461"	570	"RAC1"	"LBR"
"642462"	"9606.ENSP00000339883"	"9606.ENSP00000400175"	563	"RHOA"	"LBR"
"642469"	"9606.ENSP00000339883"	"9606.ENSP00000357283"	433	"LMNA"	"LBR"
"642488"	"9606.ENSP00000339912"	"9606.ENSP00000385143"	542	"UNC5D"	"FLRT3"
"642494"	"9606.ENSP00000339912"	"9606.ENSP00000422533"	997	"FLRT3"	"ADGRL3"
"642495"	"9606.ENSP00000339912"	"9606.ENSP00000480791"	499	"FLRT3"	"FGF1"
"642496"	"9606.ENSP00000339912"	"9606.ENSP00000352414"	499	"FLRT3"	"FGF17"
"642497"	"9606.ENSP00000339912"	"9606.ENSP00000427874"	736	"TENM2"	"FLRT3"
"642500"	"9606.ENSP00000339912"	"9606.ENSP00000340688"	495	"FLRT3"	"ADGRL1"
"642501"	"9606.ENSP00000339912"	"9606.ENSP00000420321"	577	"ROBO1"	"FLRT3"
"642503"	"9606.ENSP00000339912"	"9606.ENSP00000369442"	499	"KL"	"FLRT3"
"642513"	"9606.ENSP00000339912"	"9606.ENSP00000359765"	494	"FLRT3"	"ADGRL2"
"642514"	"9606.ENSP00000339912"	"9606.ENSP00000393312"	499	"FLRT3"	"FGFR1"
"642517"	"9606.ENSP00000339912"	"9606.ENSP00000371790"	499	"FLRT3"	"FGF9"
"642531"	"9606.ENSP00000339916"	"9606.ENSP00000432660"	515	"LIMK2"	"CFL1"
"642535"	"9606.ENSP00000339916"	"9606.ENSP00000382697"	457	"ROCK1"	"LIMK2"
"642547"	"9606.ENSP00000339916"	"9606.ENSP00000360609"	453	"LIMK2"	"HSP90AB1"
"642563"	"9606.ENSP00000339917"	"9606.ENSP00000358335"	720	"TAF9B"	"MAP3K7"
"642564"	"9606.ENSP00000339917"	"9606.ENSP00000399982"	989	"TAF9B"	"TAF6"
"642565"	"9606.ENSP00000339917"	"9606.ENSP00000356848"	979	"TAF9B"	"TADA1"
"642567"	"9606.ENSP00000339917"	"9606.ENSP00000366679"	499	"TAF9B"	"H2AC12"
"642568"	"9606.ENSP00000339917"	"9606.ENSP00000491494"	600	"TAF9B"	"TAF11L4"
"642571"	"9606.ENSP00000339917"	"9606.ENSP00000418379"	857	"TAF9B"	"TAF1L"
"642575"	"9606.ENSP00000339917"	"9606.ENSP00000485258"	418	"TAF9B"	"PRAMEF9"
"642576"	"9606.ENSP00000339917"	"9606.ENSP00000370625"	499	"TAF9B"	"POLR2B"
"642578"	"9606.ENSP00000339917"	"9606.ENSP00000363286"	720	"TAF9B"	"POLE3"
"642580"	"9606.ENSP00000339917"	"9606.ENSP00000492463"	600	"TAF9B"	"TAF11L9"
"642582"	"9606.ENSP00000339917"	"9606.ENSP00000366618"	499	"TAF9B"	"H2BC13"
"642583"	"9606.ENSP00000339917"	"9606.ENSP00000491472"	600	"TAF9B"	"TAF11L14"
"642587"	"9606.ENSP00000339917"	"9606.ENSP00000491174"	600	"TAF9B"	"TAF11L8"
"642588"	"9606.ENSP00000339917"	"9606.ENSP00000483631"	463	"USP27X"	"TAF9B"
"642591"	"9606.ENSP00000339917"	"9606.ENSP00000482674"	499	"TAF9B"	"H2BC3"
"642595"	"9606.ENSP00000339917"	"9606.ENSP00000491873"	600	"TAF9B"	"TAF11L10"
"642596"	"9606.ENSP00000339917"	"9606.ENSP00000354633"	975	"TAF9B"	"TAF11"
"642598"	"9606.ENSP00000339917"	"9606.ENSP00000356541"	730	"TAF9B"	"SF3B5"
"642599"	"9606.ENSP00000339917"	"9606.ENSP00000349430"	499	"TAF9B"	"H2BC12"
"642602"	"9606.ENSP00000339917"	"9606.ENSP00000392318"	767	"TAF9B"	"KAT14"
"642604"	"9606.ENSP00000339917"	"9606.ENSP00000361998"	762	"TAF9B"	"TAF7L"
"642607"	"9606.ENSP00000339917"	"9606.ENSP00000359837"	764	"ZZZ3"	"TAF9B"
"642616"	"9606.ENSP00000339917"	"9606.ENSP00000397259"	972	"TAF9B"	"ATXN7L3"
"642617"	"9606.ENSP00000339917"	"9606.ENSP00000477907"	499	"TAF9B"	"H2BC14"
"642620"	"9606.ENSP00000339917"	"9606.ENSP00000341094"	499	"TAF9B"	"H2AC7"
"642624"	"9606.ENSP00000339917"	"9606.ENSP00000483903"	499	"TAF9B"	"H2BC15"
"642625"	"9606.ENSP00000339917"	"9606.ENSP00000474096"	800	"TAF9B"	"TAF15"
"642628"	"9606.ENSP00000339917"	"9606.ENSP00000479169"	499	"TAF9B"	"H2BC9"
"642629"	"9606.ENSP00000339917"	"9606.ENSP00000406549"	978	"TAF9B"	"TAF1"
"642631"	"9606.ENSP00000339917"	"9606.ENSP00000492874"	600	"TAF9B"	"TAF11L5"
"642634"	"9606.ENSP00000339917"	"9606.ENSP00000492787"	600	"TAF9B"	"TAF11L3"
"642636"	"9606.ENSP00000339917"	"9606.ENSP00000491351"	600	"TAF9B"	"TAF11L7"
"642638"	"9606.ENSP00000339917"	"9606.ENSP00000358155"	499	"TAF9B"	"H2AC18"
"642639"	"9606.ENSP00000339917"	"9606.ENSP00000439585"	689	"TAF9B"	"ATXN7-2"
"642640"	"9606.ENSP00000339917"	"9606.ENSP00000367022"	499	"TAF9B"	"H2AC6"
"642642"	"9606.ENSP00000339917"	"9606.ENSP00000358886"	533	"TAF9B"	"ATXN7L2"
"642646"	"9606.ENSP00000339917"	"9606.ENSP00000445162"	900	"TAF9B"	"GTF2H3"
"642647"	"9606.ENSP00000339917"	"9606.ENSP00000491385"	600	"TAF9B"	"TAF11L6"
"642648"	"9606.ENSP00000339917"	"9606.ENSP00000358854"	983	"TAF9B"	"TAF5"
"642650"	"9606.ENSP00000339917"	"9606.ENSP00000355656"	499	"TAF9B"	"H2AW"
"642651"	"9606.ENSP00000339917"	"9606.ENSP00000479284"	499	"TAF9B"	"H2BU1"
"642653"	"9606.ENSP00000339917"	"9606.ENSP00000492752"	600	"TAF9B"	"LINC02218"
"642659"	"9606.ENSP00000339917"	"9606.ENSP00000428426"	900	"TCEA1"	"TAF9B"
"642667"	"9606.ENSP00000339917"	"9606.ENSP00000342889"	499	"TAF9B"	"POLR2K"
"642668"	"9606.ENSP00000339917"	"9606.ENSP00000355051"	932	"TAF9B"	"TAF13"
"642674"	"9606.ENSP00000339917"	"9606.ENSP00000375809"	900	"TAF9B"	"ERCC2"
"642675"	"9606.ENSP00000339917"	"9606.ENSP00000491758"	600	"TAF9B"	"TAF11L12"
"642676"	"9606.ENSP00000339917"	"9606.ENSP00000415536"	499	"TAF9B"	"POLR2H"
"642677"	"9606.ENSP00000339917"	"9606.ENSP00000423333"	468	"USP51"	"TAF9B"
"642680"	"9606.ENSP00000339917"	"9606.ENSP00000491846"	600	"TAF9B"	"TAF11L11"
"642683"	"9606.ENSP00000339917"	"9606.ENSP00000478303"	499	"TAF9B"	"POLR2E"
"642685"	"9606.ENSP00000339917"	"9606.ENSP00000352925"	972	"TRRAP"	"TAF9B"
"642686"	"9606.ENSP00000339917"	"9606.ENSP00000462980"	901	"TAF9B"	"TAF4B"
"642687"	"9606.ENSP00000339917"	"9606.ENSP00000476136"	499	"TAF9B"	"H2BC11"
"642689"	"9606.ENSP00000339917"	"9606.ENSP00000384018"	461	"TAF9B"	"NCOR2"
"642690"	"9606.ENSP00000339917"	"9606.ENSP00000351589"	499	"TAF9B"	"H2AC13"
"642691"	"9606.ENSP00000339917"	"9606.ENSP00000452454"	900	"TAF9B"	"GTF2A1"
"642692"	"9606.ENSP00000339917"	"9606.ENSP00000348168"	900	"TAF9B"	"GTF2E2"
"642694"	"9606.ENSP00000339917"	"9606.ENSP00000420176"	720	"TAF9B"	"POLE4"
"642695"	"9606.ENSP00000339917"	"9606.ENSP00000429986"	960	"TAF9B"	"ENY2"
"642697"	"9606.ENSP00000339917"	"9606.ENSP00000340823"	499	"TAF9B"	"GTF2F2"
"642698"	"9606.ENSP00000339917"	"9606.ENSP00000492047"	600	"TAF9B"	"TAF11L2"
"642701"	"9606.ENSP00000339917"	"9606.ENSP00000362068"	962	"TAF9B"	"TAF8"
"642704"	"9606.ENSP00000339917"	"9606.ENSP00000359531"	900	"TAF9B"	"GTF2B"
"642707"	"9606.ENSP00000339917"	"9606.ENSP00000340271"	945	"TAF9B"	"TAF3"
"642709"	"9606.ENSP00000339917"	"9606.ENSP00000417510"	965	"TAF9B"	"SUPT20H"
"642715"	"9606.ENSP00000339917"	"9606.ENSP00000385725"	499	"TAF9B"	"POLR2F"
"642719"	"9606.ENSP00000339917"	"9606.ENSP00000477527"	499	"TAF9B"	"H2BC17"
"642720"	"9606.ENSP00000339917"	"9606.ENSP00000383428"	472	"TAF9B"	"CECR2"
"642721"	"9606.ENSP00000339917"	"9606.ENSP00000445831"	499	"TAF9B"	"H2BC18"
"642723"	"9606.ENSP00000339917"	"9606.ENSP00000476100"	900	"TAF9B"	"GTF2H5"
"642724"	"9606.ENSP00000339917"	"9606.ENSP00000491332"	600	"TAF9B"	"TAF11L13"
"642726"	"9606.ENSP00000339917"	"9606.ENSP00000367406"	935	"TAF9B"	"TAF2"
"642727"	"9606.ENSP00000339917"	"9606.ENSP00000378702"	420	"TAF9B"	"BRD2"
"642728"	"9606.ENSP00000339917"	"9606.ENSP00000481091"	949	"TAF9B"	"TADA2A"
"642729"	"9606.ENSP00000339917"	"9606.ENSP00000359295"	799	"TAF9B"	"DR1"
"642730"	"9606.ENSP00000339917"	"9606.ENSP00000399718"	764	"TAF9B"	"MBIP"
"642734"	"9606.ENSP00000339917"	"9606.ENSP00000351446"	720	"WDR5"	"TAF9B"
"642737"	"9606.ENSP00000339917"	"9606.ENSP00000379841"	429	"TAF9B"	"GPS2"
"642742"	"9606.ENSP00000339917"	"9606.ENSP00000377969"	900	"TAF9B"	"GTF2F1"
"642747"	"9606.ENSP00000339917"	"9606.ENSP00000461879"	499	"TAF9B"	"POLR2A"
"642748"	"9606.ENSP00000339917"	"9606.ENSP00000358151"	499	"TAF9B"	"H2BC21"
"642749"	"9606.ENSP00000339917"	"9606.ENSP00000360515"	971	"TAF9B"	"SUPT3H"
"642750"	"9606.ENSP00000339917"	"9606.ENSP00000379372"	900	"TAF9B"	"GTF2A2"
"642756"	"9606.ENSP00000339917"	"9606.ENSP00000370193"	944	"TAF9B"	"TAF9"
"642829"	"9606.ENSP00000339933"	"9606.ENSP00000410186"	900	"PKLR"	"AK9"
"642867"	"9606.ENSP00000339933"	"9606.ENSP00000376889"	900	"PKLR"	"NME1-NME2"
"642873"	"9606.ENSP00000339933"	"9606.ENSP00000416658"	900	"PKLR"	"NME6"
"642903"	"9606.ENSP00000339933"	"9606.ENSP00000356785"	900	"PKLR"	"NME7"
"642912"	"9606.ENSP00000339933"	"9606.ENSP00000376886"	900	"PKLR"	"NME2"
"643012"	"9606.ENSP00000339976"	"9606.ENSP00000444136"	499	"TAF1A"	"POLR1B"
"643015"	"9606.ENSP00000339976"	"9606.ENSP00000367029"	510	"TAF1A"	"POLR1E"
"643024"	"9606.ENSP00000339976"	"9606.ENSP00000348089"	499	"TAF1A"	"ERCC6"
"643027"	"9606.ENSP00000339976"	"9606.ENSP00000498750"	499	"TAF1A"	"CCNH"
"643028"	"9606.ENSP00000339976"	"9606.ENSP00000496044"	499	"TAF1A"	"POLR1C"
"643034"	"9606.ENSP00000339976"	"9606.ENSP00000361777"	457	"TAF1A"	"SET"
"643036"	"9606.ENSP00000339976"	"9606.ENSP00000349541"	499	"TAF1A"	"CAVIN1"
"643037"	"9606.ENSP00000339976"	"9606.ENSP00000496954"	499	"TAF1A"	"MYO1C"
"643038"	"9606.ENSP00000339976"	"9606.ENSP00000445162"	499	"TAF1A"	"GTF2H3"
"643039"	"9606.ENSP00000339976"	"9606.ENSP00000418082"	422	"TAF1A"	"RPL37A"
"643045"	"9606.ENSP00000339976"	"9606.ENSP00000380054"	517	"TAF1A"	"EAF1"
"643046"	"9606.ENSP00000339976"	"9606.ENSP00000410409"	996	"TAF1D"	"TAF1A"
"643053"	"9606.ENSP00000339976"	"9606.ENSP00000375809"	499	"TAF1A"	"ERCC2"
"643054"	"9606.ENSP00000339976"	"9606.ENSP00000415536"	499	"TAF1A"	"POLR2H"
"643063"	"9606.ENSP00000339976"	"9606.ENSP00000385725"	499	"TAF1A"	"POLR2F"
"643067"	"9606.ENSP00000339976"	"9606.ENSP00000478303"	499	"TAF1A"	"POLR2E"
"643068"	"9606.ENSP00000339976"	"9606.ENSP00000455265"	997	"TAF1C"	"TAF1A"
"643070"	"9606.ENSP00000339976"	"9606.ENSP00000476100"	499	"TAF1A"	"GTF2H5"
"643071"	"9606.ENSP00000339976"	"9606.ENSP00000386226"	420	"TAF1A"	"RBM34"
"643074"	"9606.ENSP00000339976"	"9606.ENSP00000347648"	476	"ZNF512"	"TAF1A"
"643078"	"9606.ENSP00000339976"	"9606.ENSP00000465099"	676	"TAF1A"	"CD3EAP"
"643079"	"9606.ENSP00000339976"	"9606.ENSP00000342434"	499	"TAF1A"	"BAZ1B"
"643083"	"9606.ENSP00000339976"	"9606.ENSP00000346120"	578	"TAF1A"	"DDX21"
"643087"	"9606.ENSP00000339976"	"9606.ENSP00000379506"	429	"TAF1A"	"RPL14"
"643088"	"9606.ENSP00000339976"	"9606.ENSP00000342889"	499	"TAF1A"	"POLR2K"
"643089"	"9606.ENSP00000339976"	"9606.ENSP00000498653"	499	"TAF1A"	"DEK"
"643091"	"9606.ENSP00000339976"	"9606.ENSP00000370968"	499	"TAF1A"	"MYBBP1A"
"643096"	"9606.ENSP00000339992"	"9606.ENSP00000387699"	416	"MYB"	"CREB1"
"643105"	"9606.ENSP00000339992"	"9606.ENSP00000346762"	676	"SND1"	"MYB"
"643119"	"9606.ENSP00000339992"	"9606.ENSP00000474725"	457	"MYB"	"FBXW7"
"643127"	"9606.ENSP00000339992"	"9606.ENSP00000378332"	420	"TGFB1I1"	"MYB"
"643131"	"9606.ENSP00000339992"	"9606.ENSP00000350844"	571	"PAX5"	"MYB"
"643134"	"9606.ENSP00000339992"	"9606.ENSP00000370968"	876	"MYBBP1A"	"MYB"
"643140"	"9606.ENSP00000339992"	"9606.ENSP00000378402"	852	"SIN3A"	"MYB"
"643150"	"9606.ENSP00000339992"	"9606.ENSP00000438574"	457	"PIAS1"	"MYB"
"643160"	"9606.ENSP00000339992"	"9606.ENSP00000433488"	800	"MYB"	"FLI1"
"643190"	"9606.ENSP00000339992"	"9606.ENSP00000345681"	835	"MYB"	"GATA2"
"643191"	"9606.ENSP00000339992"	"9606.ENSP00000385571"	457	"MYB"	"HIPK2"
"643197"	"9606.ENSP00000339992"	"9606.ENSP00000501277"	499	"MYB"	"LDB1"
"643207"	"9606.ENSP00000339992"	"9606.ENSP00000436786"	852	"MYB"	"KMT2A"
"643216"	"9606.ENSP00000339992"	"9606.ENSP00000348056"	457	"UBE2I"	"MYB"
"643218"	"9606.ENSP00000339992"	"9606.ENSP00000388940"	499	"TCF12"	"MYB"
"643224"	"9606.ENSP00000339992"	"9606.ENSP00000415151"	499	"MYB"	"CBFB"
"643234"	"9606.ENSP00000339992"	"9606.ENSP00000368632"	630	"MYB"	"GATA3"
"643237"	"9606.ENSP00000339992"	"9606.ENSP00000486540"	652	"MYB"	"CNOT9"
"643242"	"9606.ENSP00000339992"	"9606.ENSP00000384625"	457	"NLK"	"MYB"
"643256"	"9606.ENSP00000339992"	"9606.ENSP00000355657"	555	"MYB"	"H3-4"
"643259"	"9606.ENSP00000339992"	"9606.ENSP00000433623"	457	"TRAF6"	"MYB"
"643321"	"9606.ENSP00000340019"	"9606.ENSP00000445806"	499	"TIMM50"	"HSPD1"
"643331"	"9606.ENSP00000340019"	"9606.ENSP00000355865"	632	"PRKN"	"HSPD1"
"643360"	"9606.ENSP00000340019"	"9606.ENSP00000457513"	509	"HSPD1"	"COX4I1"
"643366"	"9606.ENSP00000340019"	"9606.ENSP00000399376"	729	"PRNP"	"HSPD1"
"643400"	"9606.ENSP00000340019"	"9606.ENSP00000364801"	537	"HSPD1"	"HSPA1B"
"643415"	"9606.ENSP00000340019"	"9606.ENSP00000356256"	499	"TIMM17A"	"HSPD1"
"643442"	"9606.ENSP00000340019"	"9606.ENSP00000353048"	417	"HSPD1"	"CCT8L2"
"643449"	"9606.ENSP00000340019"	"9606.ENSP00000398495"	509	"HSPD1"	"DIABLO-2"
"643477"	"9606.ENSP00000340019"	"9606.ENSP00000498852"	573	"SPN"	"HSPD1"
"643551"	"9606.ENSP00000340019"	"9606.ENSP00000363089"	996	"TLR4"	"HSPD1"
"643564"	"9606.ENSP00000340019"	"9606.ENSP00000372191"	457	"SIRT3"	"HSPD1"
"643581"	"9606.ENSP00000340019"	"9606.ENSP00000376889"	420	"NME1-NME2"	"HSPD1"
"643591"	"9606.ENSP00000340019"	"9606.ENSP00000419425"	516	"PPIA"	"HSPD1"
"643593"	"9606.ENSP00000340019"	"9606.ENSP00000479488"	431	"PHB"	"HSPD1"
"643606"	"9606.ENSP00000340019"	"9606.ENSP00000396308"	458	"HSPD1"	"DHFR"
"643627"	"9606.ENSP00000340019"	"9606.ENSP00000500094"	457	"HSPD1"	"ATAD3B"
"643675"	"9606.ENSP00000340019"	"9606.ENSP00000385519"	755	"HSPD1"	"CD14"
"643731"	"9606.ENSP00000340019"	"9606.ENSP00000350718"	473	"TMCC2"	"HSPD1"
"643740"	"9606.ENSP00000340019"	"9606.ENSP00000385828"	465	"TST"	"HSPD1"
"643741"	"9606.ENSP00000340019"	"9606.ENSP00000342056"	467	"HSPD1"	"CS"
"643742"	"9606.ENSP00000340019"	"9606.ENSP00000350353"	457	"HSPD1"	"ETFBKMT"
"643744"	"9606.ENSP00000340019"	"9606.ENSP00000431926"	457	"HSPD1"	"AMBRA1"
"643762"	"9606.ENSP00000340019"	"9606.ENSP00000372005"	499	"HSPD1"	"DNAJC19"
"643763"	"9606.ENSP00000340019"	"9606.ENSP00000346671"	554	"HSPD1"	"FYN"
"643786"	"9606.ENSP00000340019"	"9606.ENSP00000437125"	692	"HSPD1"	"HSPA8"
"643888"	"9606.ENSP00000340019"	"9606.ENSP00000362413"	479	"PGK1"	"HSPD1"
"643893"	"9606.ENSP00000340019"	"9606.ENSP00000479256"	720	"TRIL"	"HSPD1"
"643897"	"9606.ENSP00000340019"	"9606.ENSP00000358497"	404	"RNGTT"	"HSPD1"
"643901"	"9606.ENSP00000340019"	"9606.ENSP00000464522"	499	"TIMM23"	"HSPD1"
"643907"	"9606.ENSP00000340019"	"9606.ENSP00000402092"	518	"SAMD3"	"HSPD1"
"643920"	"9606.ENSP00000340019"	"9606.ENSP00000353826"	401	"LONP1"	"HSPD1"
"643927"	"9606.ENSP00000340019"	"9606.ENSP00000379999"	499	"TIMM17B"	"HSPD1"
"643940"	"9606.ENSP00000340019"	"9606.ENSP00000368727"	414	"XDH"	"HSPD1"
"643960"	"9606.ENSP00000340019"	"9606.ENSP00000360609"	681	"HSPD1"	"HSP90AB1"
"644017"	"9606.ENSP00000340176"	"9606.ENSP00000343619"	477	"RBPMS"	"HOXA9"
"644033"	"9606.ENSP00000340176"	"9606.ENSP00000387187"	420	"SERF2"	"RBPMS"
"644036"	"9606.ENSP00000340176"	"9606.ENSP00000366604"	420	"SF1"	"RBPMS"
"644039"	"9606.ENSP00000340176"	"9606.ENSP00000449079"	504	"RDH12"	"RBPMS"
"644043"	"9606.ENSP00000340176"	"9606.ENSP00000360500"	468	"RBPMS"	"DMRTB1"
"644048"	"9606.ENSP00000340176"	"9606.ENSP00000354314"	437	"RBPMS"	"HAO2"
"644056"	"9606.ENSP00000340176"	"9606.ENSP00000399700"	420	"RBPMS"	"PLAC8"
"644065"	"9606.ENSP00000340176"	"9606.ENSP00000405738"	608	"RBPMS"	"ESRP1"
"644120"	"9606.ENSP00000340176"	"9606.ENSP00000355094"	640	"RBPMS"	"QKI"
"644141"	"9606.ENSP00000340176"	"9606.ENSP00000413035"	449	"RBPMS"	"RBFOX2"
"644182"	"9606.ENSP00000340211"	"9606.ENSP00000344562"	662	"CORO6"	"CORO1B"
"644224"	"9606.ENSP00000340211"	"9606.ENSP00000394496"	800	"CORO1C"	"CORO1B"
"644241"	"9606.ENSP00000340211"	"9606.ENSP00000365745"	415	"CTTN"	"CORO1B"
"644246"	"9606.ENSP00000340211"	"9606.ENSP00000367220"	514	"CORO1B"	"ACTR2"
"644252"	"9606.ENSP00000340211"	"9606.ENSP00000458162"	539	"CORO1B"	"ACTG1"
"644266"	"9606.ENSP00000340211"	"9606.ENSP00000484472"	491	"EPPK1"	"CORO1B"
"644277"	"9606.ENSP00000340220"	"9606.ENSP00000355961"	920	"INTS7"	"C7orf26"
"644278"	"9606.ENSP00000340220"	"9606.ENSP00000445001"	724	"INTS11"	"C7orf26"
"644280"	"9606.ENSP00000340220"	"9606.ENSP00000429065"	724	"INTS9"	"C7orf26"
"644281"	"9606.ENSP00000340220"	"9606.ENSP00000483637"	540	"CT45A9"	"C7orf26"
"644282"	"9606.ENSP00000340220"	"9606.ENSP00000482241"	540	"CT45A7"	"C7orf26"
"644285"	"9606.ENSP00000340220"	"9606.ENSP00000430338"	778	"INTS8"	"C7orf26"
