"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"cluster"	"Module"	"NMF"	"dir"
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION"	"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION"	"8/30"	"197/7434"	0.0406091370558376	10.0629441624365	8.20602091933825	7.48527912250624e-07	2.6348182511222e-05	1.70191609522247e-05	"ALB/TF/ITIH4/APOA1/PLG/SERPING1/THBS1/FN1"	8	1	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_HEMOSTASIS"	"REACTOME_HEMOSTASIS"	"10/30"	"458/7434"	0.0218340611353712	5.41048034934498	6.201901768618	7.0088841867402e-06	0.000105090950425671	6.78817143897877e-05	"ALB/TF/ITIH4/APOA1/SERPIND1/PLG/SERPINC1/SERPING1/THBS1/FN1"	10	1	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES"	"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES"	"3/30"	"23/7434"	0.130434782608696	32.3217391304348	9.57592791648033	9.94760545777731e-05	0.000875389280284404	0.000565442836547342	"VTN/FBLN1/FN1"	3	2	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_SYNDECAN_INTERACTIONS"	"REACTOME_SYNDECAN_INTERACTIONS"	"3/30"	"23/7434"	0.130434782608696	32.3217391304348	9.57592791648033	9.94760545777731e-05	0.000875389280284404	0.000565442836547342	"VTN/THBS1/FN1"	3	2	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_ELASTIC_FIBRE_FORMATION"	"REACTOME_ELASTIC_FIBRE_FORMATION"	"3/30"	"26/7434"	0.115384615384615	28.5923076923077	8.97085217433768	0.000144851754076554	0.00121399565321302	0.000784159871692621	"VTN/FBLN1/FN1"	3	2	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_ECM_PROTEOGLYCANS"	"REACTOME_ECM_PROTEOGLYCANS"	"4/30"	"45/7434"	0.0888888888888889	22.0266666666667	9.00519957675482	2.86260954234999e-05	0.000359870913895427	0.000232452504190826	"VTN/LUM/COL6A1/FN1"	4	2	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS"	"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS"	"5/30"	"62/7434"	0.0806451612903226	19.9838709677419	9.55426853539708	4.15789689267475e-06	9.14737316388444e-05	5.90859032116938e-05	"VTN/LUM/COL6A1/THBS1/FN1"	5	2	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS"	"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS"	"3/30"	"53/7434"	0.0566037735849057	14.0264150943396	6.0577972533408	0.00121266508416398	0.00820880980049463	0.00530234125869271	"VTN/THBS1/FN1"	3	2	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"7/30"	"183/7434"	0.0382513661202186	9.47868852459016	7.39204772635779	6.15680947852252e-06	0.000105090950425671	6.78817143897877e-05	"VTN/FBLN1/PLG/LUM/COL6A1/THBS1/FN1"	7	2	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_HDL_REMODELING"	"REACTOME_HDL_REMODELING"	"4/30"	"6/7434"	0.666666666666667	165.2	25.6107513195962	3.21482746432308e-09	1.88603211240287e-07	1.21825040753296e-07	"ALB/APOA1/APOC3/APOE"	4	3	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_CHYLOMICRON_REMODELING"	"REACTOME_CHYLOMICRON_REMODELING"	"3/30"	"7/7434"	0.428571428571429	106.2	17.7242365107475	2.05358685282753e-06	5.16330408710922e-05	3.33514857301313e-05	"APOA1/APOC3/APOE"	3	3	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_CHYLOMICRON_ASSEMBLY"	"REACTOME_CHYLOMICRON_ASSEMBLY"	"3/30"	"9/7434"	0.333333333333333	82.6	15.5909533900788	4.90179246599483e-06	9.58572748905656e-05	6.19173785178294e-05	"APOA1/APOC3/APOE"	3	3	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_PLASMA_LIPOPROTEIN_REMODELING"	"REACTOME_PLASMA_LIPOPROTEIN_REMODELING"	"4/30"	"20/7434"	0.2	49.56	13.8412997454	9.9842635581702e-07	2.92871731039659e-05	1.89175520049541e-05	"ALB/APOA1/APOC3/APOE"	4	3	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY"	"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY"	"3/30"	"16/7434"	0.1875	46.4625	11.5872233849175	3.20607447020918e-05	0.000374850831551958	0.000242128527557485	"APOA1/APOC3/APOE"	3	3	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS"	"REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS"	"4/30"	"32/7434"	0.125	30.975	10.816061033636	7.16529207447759e-06	0.000105090950425671	6.78817143897877e-05	"APOA1/APOC3/APOM/APOE"	4	3	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_VISUAL_PHOTOTRANSDUCTION"	"REACTOME_VISUAL_PHOTOTRANSDUCTION"	"4/30"	"47/7434"	0.0851063829787234	21.0893617021277	8.79408190841152	3.40773483229052e-05	0.000374850831551958	0.000242128527557485	"APOA1/APOC3/APOM/APOE"	4	3	"ITIH2_FORALL_010"	"NMF6"	"high"
