"V1"	"V2"	"gene_symbol1"	"gene_symbol2"
"149"	"ENSG00000002822"	"ENSG00000171847"	"MAD1L1"	"FAM90A1"
"150"	"ENSG00000002822"	"ENSG00000176155"	"MAD1L1"	"CCDC57"
"151"	"ENSG00000002822"	"ENSG00000185264"	"MAD1L1"	"CIMIP4"
"152"	"ENSG00000002822"	"ENSG00000185519"	"MAD1L1"	"FAM131C"
"153"	"ENSG00000002822"	"ENSG00000198420"	"TCAF1"	"MAD1L1"
"154"	"ENSG00000002822"	"ENSG00000204536"	"MAD1L1"	"CCHCR1"
"155"	"ENSG00000002834"	"ENSG00000054965"	"LASP1"	"FAM168A"
"156"	"ENSG00000002834"	"ENSG00000062822"	"POLD1"	"LASP1"
"157"	"ENSG00000002834"	"ENSG00000064218"	"LASP1"	"DMRT3"
"158"	"ENSG00000002834"	"ENSG00000064835"	"POU1F1"	"LASP1"
"159"	"ENSG00000002834"	"ENSG00000064999"	"LASP1"	"ANKS1A"
"160"	"ENSG00000002834"	"ENSG00000069011"	"PITX1"	"LASP1"
"161"	"ENSG00000002834"	"ENSG00000070808"	"LASP1"	"CAMK2A"
"162"	"ENSG00000002834"	"ENSG00000071539"	"TRIP13"	"LASP1"
"163"	"ENSG00000002834"	"ENSG00000078328"	"RBFOX1"	"LASP1"
"164"	"ENSG00000002834"	"ENSG00000085872"	"LASP1"	"CHERP"
"165"	"ENSG00000002834"	"ENSG00000091073"	"LASP1"	"DTX2"
"166"	"ENSG00000002834"	"ENSG00000100167"	"SEPTIN3"	"LASP1"
"167"	"ENSG00000002834"	"ENSG00000100567"	"PSMA3"	"LASP1"
"168"	"ENSG00000002834"	"ENSG00000102898"	"NUTF2"	"LASP1"
"169"	"ENSG00000002834"	"ENSG00000103043"	"VAC14"	"LASP1"
"170"	"ENSG00000002834"	"ENSG00000104427"	"ZC2HC1A"	"LASP1"
"171"	"ENSG00000002834"	"ENSG00000104973"	"MED25"	"LASP1"
"172"	"ENSG00000002834"	"ENSG00000105991"	"LASP1"	"HOXA1"
"173"	"ENSG00000002834"	"ENSG00000107816"	"LZTS2"	"LASP1"
"174"	"ENSG00000002834"	"ENSG00000108255"	"LASP1"	"CRYBA1"
"175"	"ENSG00000002834"	"ENSG00000111077"	"TNS2"	"LASP1"
"176"	"ENSG00000002834"	"ENSG00000112559"	"MDFI"	"LASP1"
"177"	"ENSG00000002834"	"ENSG00000114354"	"TFG"	"LASP1"
"178"	"ENSG00000002834"	"ENSG00000115507"	"OTX1"	"LASP1"
"179"	"ENSG00000002834"	"ENSG00000124788"	"LASP1"	"ATXN1"
"180"	"ENSG00000002834"	"ENSG00000124827"	"LASP1"	"GCM2"
"181"	"ENSG00000002834"	"ENSG00000125409"	"TEKT3"	"LASP1"
"182"	"ENSG00000002834"	"ENSG00000127054"	"LASP1"	"INTS11"
"183"	"ENSG00000002834"	"ENSG00000129245"	"LASP1"	"FXR2"
"184"	"ENSG00000002834"	"ENSG00000130762"	"LASP1"	"ARHGEF16"
"185"	"ENSG00000002834"	"ENSG00000131721"	"RHOXF2"	"LASP1"
"186"	"ENSG00000002834"	"ENSG00000131931"	"THAP1"	"LASP1"
"187"	"ENSG00000002834"	"ENSG00000134107"	"LASP1"	"BHLHE40"
"188"	"ENSG00000002834"	"ENSG00000135482"	"ZC3H10"	"LASP1"
"189"	"ENSG00000002834"	"ENSG00000136158"	"SPRY2"	"LASP1"
"190"	"ENSG00000002834"	"ENSG00000136451"	"VEZF1"	"LASP1"
"191"	"ENSG00000002834"	"ENSG00000137075"	"RNF38"	"LASP1"
"192"	"ENSG00000002834"	"ENSG00000137098"	"SPAG8"	"LASP1"
"193"	"ENSG00000002834"	"ENSG00000138867"	"LASP1"	"GUCD1"
"194"	"ENSG00000002834"	"ENSG00000140320"	"LASP1"	"BAHD1"
"195"	"ENSG00000002834"	"ENSG00000141013"	"LASP1"	"GAS8"
"196"	"ENSG00000002834"	"ENSG00000143013"	"LMO4"	"LASP1"
"197"	"ENSG00000002834"	"ENSG00000149658"	"YTHDF1"	"LASP1"
"198"	"ENSG00000002834"	"ENSG00000152102"	"LASP1"	"FAM168B"
"199"	"ENSG00000002834"	"ENSG00000152430"	"LASP1"	"BOLL"
"200"	"ENSG00000002834"	"ENSG00000153060"	"TEKT5"	"LASP1"
"201"	"ENSG00000002834"	"ENSG00000156735"	"LASP1"	"BAG4"
"202"	"ENSG00000002834"	"ENSG00000157110"	"RBPMS"	"LASP1"
"203"	"ENSG00000002834"	"ENSG00000160973"	"LASP1"	"FOXH1"
"204"	"ENSG00000002834"	"ENSG00000161992"	"PRR35"	"LASP1"
"205"	"ENSG00000002834"	"ENSG00000162148"	"SAXO4"	"LASP1"
"206"	"ENSG00000002834"	"ENSG00000162881"	"OXER1"	"LASP1"
"207"	"ENSG00000002834"	"ENSG00000162924"	"REL"	"LASP1"
"208"	"ENSG00000002834"	"ENSG00000163060"	"TEKT4"	"LASP1"
"209"	"ENSG00000002834"	"ENSG00000163499"	"LASP1"	"CRYBA2"
"210"	"ENSG00000002834"	"ENSG00000164438"	"TLX3"	"LASP1"
