"SymbolA"	"SymbolB"
"370"	"NDUFS6"	"NDUFA1"
"371"	"NDUFB6"	"NDUFA1"
"372"	"NDUFB5"	"NDUFA1"
"373"	"NOP10"	"NAF1"
"374"	"YBX1"	"NOP10"
"375"	"NOP10"	"DCAF4"
"376"	"NOP10"	"DKC1"
"377"	"NOP10"	"MYBBP1A"
"378"	"WRAP53"	"NOP10"
"379"	"SRSF1"	"NOP10"
"380"	"RPS19"	"NOP10"
"381"	"NOP10"	"KPNA1"
"382"	"NOP10"	"GAR1"
"383"	"SHQ1"	"NOP10"
"384"	"NOP10"	"KRR1"
"385"	"SNRNP70"	"NOP10"
"386"	"NOP10"	"CRNN"
"387"	"YWHAG"	"OAZ1"
"388"	"OAZ1"	"ACTA2"
"389"	"OAZ1"	"LCN2"
"390"	"POLR2L"	"POLR2G"
"391"	"POLR3H"	"POLR2L"
"392"	"RPAP1"	"POLR2L"
"393"	"POLR2L"	"POLR1E"
"394"	"POLR2L"	"POLR1B"
"395"	"SERPINB8"	"POLR2L"
"396"	"SERPINB7"	"POLR2L"
"397"	"POLR2L"	"POLR1A"
"398"	"POLR3A"	"POLR2L"
"399"	"POLR2L"	"DSG1"
"400"	"RPAP2"	"POLR2L"
"401"	"POLR2L"	"HAL"
"402"	"POLR3E"	"POLR2L"
"403"	"POLR3B"	"POLR2L"
"404"	"POLR2L"	"POLR2A"
"405"	"POLR2L"	"GRINL1A"
"406"	"POLR3C"	"POLR2L"
"407"	"POLR2L"	"POLR2D"
"408"	"RPRD1B"	"POLR2L"
"409"	"RPRD1A"	"POLR2L"
"410"	"SUPT6H"	"POLR2L"
"411"	"SERPINB12"	"POLR2L"
"412"	"RPRD2"	"POLR2L"
"413"	"POLR2L"	"POLR2B"
"414"	"POLR2L"	"CRCP"
"415"	"RCCD1"	"POLR2L"
"416"	"POLR3D"	"POLR2L"
"417"	"RRN3"	"POLR2L"
"418"	"RECQL5"	"POLR2L"
"419"	"POLR2L"	"POLR2H"
"420"	"POLR2L"	"ARG1"
"421"	"POLR2L"	"GPN1"
"422"	"TWISTNB"	"POLR2L"
"423"	"POLR2L"	"POLR2J"
"424"	"TGM3"	"POLR2L"
"425"	"POLR2L"	"POLR1C"
"426"	"POLR2L"	"POF1B"
"427"	"POLR2L"	"POLR2I"
"428"	"POLR2L"	"POLR2E"
"429"	"POLR3G"	"POLR2L"
"430"	"POLR3F"	"POLR2L"
"431"	"POLR2L"	"PKP1"
"432"	"POLR2L"	"CD3EAP"
"433"	"POLR2L"	"CPA4"
"434"	"SDR9C7"	"POLR2L"
"435"	"POLR2L"	"POLR2C"
"436"	"POLR2L"	"GPN3"
"437"	"POLR2L"	"ALOX12B"
"438"	"POLR3GL"	"POLR2L"
"439"	"SERPINA12"	"POLR2L"
"440"	"POLR2L"	"CDSN"
"441"	"POLR2L"	"PLBD1"
"442"	"SERPINB13"	"POLR2L"
"443"	"SERPINB2"	"POLR2L"
"444"	"POLR2L"	"NCCRP1"
"445"	"POLR2L"	"GPN2"
"446"	"POLR2L"	"CTDP1"
"447"	"POLR2L"	"POLR1D"
"448"	"POLR2L"	"POLR2F"
"449"	"POLR3K"	"POLR2L"
"450"	"WWP2"	"POLR2L"
"451"	"RPS21"	"NME2P1"
"452"	"RPSA"	"RPS21"
"453"	"RPS3"	"RPS28"
"454"	"THNSL1"	"RPS28"
"455"	"RPS28"	"RPL31"
"456"	"RPS28"	"RPL19"
"457"	"SBDSP1"	"PDCD1LG2"
"458"	"TTR"	"SEP15"
"459"	"SERPINB7"	"SEP15"
"460"	"SEP15"	"ARG1"
"461"	"SERPINA12"	"SEP15"
"462"	"SEP15"	"CPA4"
"463"	"SEP15"	"SDR9C7"
"464"	"SERPINB2"	"SEP15"
"465"	"SERPINB8"	"SEP15"
"466"	"SEP15"	"PLBD1"
"467"	"SERPINA1"	"SEP15"
"468"	"SEP15"	"HBB"
"469"	"ST13"	"NELL2"
"470"	"UQCRB"	"UQCR10"
"471"	"UQCRC2"	"UQCR10"
"472"	"UQCR10"	"COX7A2L"
"473"	"UQCRFS1"	"UQCR10"
"474"	"UQCR10"	"CYC1"
"475"	"UQCRC1"	"UQCR10"
"476"	"UQCR10"	"PTGES2"
"477"	"UQCRQ"	"UQCR10"
"478"	"UQCR10"	"ABCB10"
"479"	"UQCR10"	"CYTB"
"480"	"UQCRH"	"UQCR10"
"481"	"UQCR10"	"COX6B1"
"482"	"UQCR10"	"TSPAN6"
"483"	"USMG5"	"PEX19"
"484"	"PPP3CC"	"C16orf74"
"485"	"ZER1"	"C16orf74"
"486"	"KLHL20"	"C16orf74"
"487"	"C16orf74"	"ADO"
"488"	"TTC19"	"COX17"
"489"	"SUOX"	"COX17"
"490"	"COX7C"	"COX6C"
"491"	"UQCRC2"	"COX7C"
"492"	"COX7C"	"COX7A2L"
"493"	"COX7C"	"COX4I1"
"494"	"MYO18A"	"COX7C"
"495"	"TMBIM6"	"COX7C"
"496"	"COX7C"	"COX5B"
"497"	"COX7C"	"COX6B1"
"498"	"COX7C"	"COX2"
"499"	"UQCRB"	"COX7C"
"500"	"COX7C"	"COX1"
"501"	"DEFB106A"	"CST6"
"502"	"SERPINB7"	"DEFB106A"
"503"	"TGM1"	"DEFB106A"
"504"	"PCYOX1L"	"DEFB106A"
"505"	"DEFB106A"	"CTSL2"
"506"	"TMEM111"	"DEFB106A"
"507"	"RNASE7"	"DEFB106A"
"508"	"POF1B"	"DEFB106A"
"509"	"TMEM2"	"DEFB106A"
"510"	"DEFB106A"	"ALOX12B"
"511"	"DEFB106A"	"CDSN"
"512"	"IL1F7"	"DEFB106A"
"513"	"DEFB106A"	"C15orf24"
"514"	"TMEM85"	"DEFB106A"
"515"	"DEFB106A"	"CES3"
"516"	"DEFB106A"	"COX4NB"
"517"	"PFDN4"	"DEFB123"
"518"	"PFDN2"	"DEFB123"
"519"	"DEFB123"	"CACNA2D2"
"520"	"DEFB123"	"CACNA2D1"
"521"	"PFDN1"	"DEFB123"
"522"	"SORL1"	"DEFB123"
"523"	"VBP1"	"DEFB123"
"524"	"PFDN5"	"DEFB123"
"525"	"DEFB123"	"COL6A2"
"526"	"PFDN6"	"DEFB123"
"527"	"TMEM67"	"DEFB123"
"528"	"LDLR"	"DEFB123"
"529"	"LRP1B"	"DEFB123"
"530"	"DEFB123"	"CTBS"
"531"	"LRP4"	"DEFB123"
"532"	"VMA21"	"FAM165B"
"533"	"FAM165B"	"ATP5B"
"534"	"TTYH3"	"FAM165B"
"535"	"GNG10"	"GNB3"
"536"	"GNG10"	"GNB1"
"537"	"GNG10"	"GNB2"
"538"	"GNG10"	"GNB4"
"539"	"GNG10"	"GNAS"
"540"	"GNG10"	"GNAI3"
"541"	"GNG10"	"GNAO1"
"542"	"GNG10"	"GNAI1"
"543"	"GNG10"	"GNAZ"
"544"	"GNG10"	"GNA11"
"545"	"GNG10"	"GNAQ"
"546"	"GNG10"	"GNA13"
"547"	"PDCL"	"GNG10"
"548"	"GNG5"	"GNAS"
"549"	"GNG5"	"GNAI3"
"550"	"GNG5"	"GNAI1"
"551"	"GNG5"	"GNAQ"
"552"	"GNG5"	"GNA13"
"553"	"GNG5"	"C9orf41"
"554"	"PDCL"	"GNG5"
"555"	"GNG5"	"GNB1"
"556"	"GNG5"	"GNB4"
"557"	"GNG5"	"GNB2"
"558"	"GNG5"	"GNB5"
"559"	"RBM28"	"LENEP"
"560"	"LENEP"	"H2AFY"
"561"	"LENEP"	"HIST1H1D"
"562"	"LENEP"	"HIST1H1C"
"563"	"LENEP"	"HIST1H1A"
"564"	"LENEP"	"CENPV"
"565"	"NMNAT1"	"LENEP"
"566"	"ZNF800"	"LENEP"
"567"	"SRSF12"	"LENEP"
"568"	"YBX1"	"MRPL33"
"569"	"MRPL33"	"MRPL12"
"570"	"MRPL45"	"MRPL33"
"571"	"MRPL9"	"MRPL33"
"572"	"MRPL39"	"MRPL33"
"573"	"MRPL33"	"MRPL10"
"574"	"MRPL33"	"MRPL24"
"575"	"MRPL50"	"MRPL33"
"576"	"MRPL33"	"MRPL22"
"577"	"MRPL33"	"MRPL27"
"578"	"MRPL47"	"MRPL33"
"579"	"MRPL33"	"ICT1"
"580"	"MRPL33"	"MRPL2"
"581"	"MRPL33"	"MRPL13"
"582"	"MRPL4"	"MRPL33"
"583"	"MRPL35"	"MRPL33"
"584"	"MRPL33"	"MRPL30"
"585"	"MRPS18A"	"MRPL33"
"586"	"MRPL42"	"MRPL33"
"587"	"MRPL33"	"MRPL20"
"588"	"MRPL33"	"MRPL18"
"589"	"MRPS30"	"MRPL33"
"590"	"MRPL33"	"MRPL23"
"591"	"MRPL51"	"MRPL33"
"592"	"CDC16"	"ANAPC13"
"593"	"ANAPC16"	"ANAPC13"
"594"	"ANAPC4"	"ANAPC13"
"595"	"ANAPC13"	"ANAPC1"
"596"	"CDC23"	"ANAPC13"
"597"	"FZR1"	"ANAPC13"
"598"	"ANAPC2"	"ANAPC13"
"599"	"CDC26"	"ANAPC13"
"600"	"FBXO5"	"ANAPC13"
"601"	"ANAPC13"	"ANAPC10"
"602"	"ANAPC5"	"ANAPC13"
"603"	"CDC27"	"ANAPC13"
"604"	"ANAPC7"	"ANAPC13"
"605"	"VMA21"	"ATP6V0E1"
"606"	"ATP6V0E1"	"ATP6V0A2"
"607"	"ATP6V0E1"	"ATP6V0A1"
"608"	"ATP6V0E1"	"ATP6AP2"
"609"	"REEP5"	"ATP6V0E1"
"610"	"PIGG"	"ATP6V0E1"
"611"	"SLC7A2"	"ATP6V0E1"
"612"	"ATP6V0E1"	"ATP6AP1"
"613"	"TMEM199"	"ATP6V0E1"
"614"	"PTPRF"	"ATP6V0E1"
"615"	"CCDC115"	"ATP6V0E1"
"616"	"GNG3"	"GNAZ"
"617"	"GNG3"	"GNA11"
"618"	"GNG3"	"GNAQ"
"619"	"GNG3"	"GNA13"
"620"	"GNG3"	"GNB1"
"621"	"GNG3"	"GNB4"
